shopid,buyerid,register_date,country
2750,3007,1/25/2021,MY
2209,3162,2/10/2019,MY
2663,3756,4/26/2019,MY
2122,1927,8/22/2021,ID
2760,3944,5/24/2020,MY
2139,3309,8/11/2021,MY
2359,1748,9/9/2021,ID
2198,2551,4/21/2020,SG
2670,3381,2/17/2019,MY
2759,4673,10/18/2020,SZ
2148,3650,10/22/2021,MY
2014,2518,5/31/2020,SG
2393,3876,10/1/2020,MY
2183,3334,3/9/2021,MY
2140,3112,11/24/2019,MY
2276,2955,5/19/2019,SG
2601,2083,6/6/2020,SG
2956,4186,6/14/2021,PH
2736,4629,5/10/2021,SZ
2014,4685,8/8/2021,SZ
2518,4569,1/9/2018,SZ
2378,1696,7/19/2018,ID
2100,4789,10/13/2021,SZ
2655,4127,3/23/2019,PH
2087,3153,4/10/2020,MY
2673,4475,1/16/2018,PH
2233,4754,9/15/2020,SZ
2595,1889,12/5/2018,ID
2365,1256,12/29/2018,ID
2729,4868,7/3/2020,SZ
2381,3762,12/15/2018,MY
2481,2227,4/5/2021,SG
2639,3451,4/29/2019,MY
2087,1226,9/18/2018,ID
2000,1940,2/25/2019,ID
2736,4490,4/12/2018,PH
2053,4913,10/14/2021,SZ
2344,3916,4/5/2018,MY
2615,3643,5/16/2019,MY
2229,4122,8/6/2021,PH
2921,4559,10/8/2018,SZ
2830,2300,5/11/2018,SG
2786,4407,8/14/2018,PH
2615,3782,6/30/2020,MY
2434,1726,12/24/2020,ID
2577,1577,4/5/2018,ID
2434,3364,10/31/2021,MY
2764,3606,5/12/2020,MY
2842,2441,3/11/2020,SG
2737,3388,5/21/2020,MY
2781,4947,9/24/2021,SZ
2578,4800,6/8/2020,SZ
2745,3588,5/17/2019,MY
2057,4117,7/2/2021,PH
2190,3016,5/1/2018,MY
2490,2173,8/19/2018,SG
2221,3815,1/3/2018,MY
2872,3687,2/20/2020,MY
2014,3611,11/20/2019,MY
2812,1878,3/4/2019,ID
2714,1666,2/1/2021,ID
2100,4645,1/17/2021,SZ
2460,4953,8/3/2019,SZ
2754,2785,2/22/2018,SG
2132,3591,7/25/2020,MY
2697,3250,5/16/2018,MY
2983,3464,3/13/2021,MY
2014,1310,3/9/2020,ID
2565,1245,1/16/2020,ID
2012,4109,5/8/2020,PH
2532,2989,5/17/2020,SG
2903,1480,6/15/2018,ID
2169,4379,5/11/2020,PH
2304,3716,11/22/2021,MY
2908,2146,11/19/2019,SG
2468,3844,11/23/2021,MY
2712,2394,1/2/2018,SG
2772,1322,5/26/2021,ID
2993,3616,5/22/2018,MY
2164,1353,8/10/2019,ID
2776,1219,8/18/2020,ID
2688,4145,8/27/2018,PH
2163,2406,9/26/2018,SG
2292,3956,5/4/2021,MY
2823,2956,5/10/2019,SG
2956,1110,6/18/2018,ID
2910,3252,8/12/2019,MY
2644,3432,5/30/2019,MY
2213,1134,7/7/2019,ID
2805,2019,12/3/2019,SG
2299,1114,7/17/2018,ID
2798,1280,6/2/2021,ID
2404,3053,12/18/2019,MY
2858,4840,8/13/2020,SZ
2459,4953,5/2/2021,SZ
2353,1583,10/26/2019,ID
2188,4002,3/29/2018,PH
2016,1973,6/5/2019,ID
2409,4306,8/19/2020,PH
2862,3839,7/15/2019,MY
2251,3957,8/17/2021,MY
2155,1443,3/29/2021,ID
2372,4955,8/6/2020,SZ
2940,4508,8/22/2018,SZ
2093,4015,1/16/2021,PH
2311,3823,7/12/2018,MY
2302,3195,1/21/2018,MY
2788,4492,6/29/2019,PH
2677,3839,6/18/2020,MY
2174,1133,9/10/2020,ID
2625,3297,1/28/2018,MY
2587,3030,8/22/2020,MY
2317,2237,6/29/2020,SG
2330,4678,7/25/2018,SZ
2477,1339,4/13/2019,ID
2357,2184,1/23/2019,SG
2610,4120,4/8/2020,PH
2338,4661,6/3/2020,SZ
2272,3415,10/11/2018,MY
2948,4388,8/31/2019,PH
2022,3295,5/8/2019,MY
2836,3065,6/8/2019,MY
2122,1289,1/2/2021,ID
2945,2179,7/28/2018,SG
2675,3164,7/24/2020,MY
2214,4056,9/4/2021,PH
2970,1027,8/16/2019,ID
2467,1613,6/12/2018,ID
2780,4883,2/25/2021,SZ
2301,1487,7/13/2018,ID
2909,1808,5/5/2020,ID
2231,2967,6/2/2019,SG
2947,2061,11/14/2018,SG
2402,4977,10/1/2019,SZ
2254,4347,12/8/2020,PH
2276,1347,3/8/2020,ID
2558,3456,2/12/2020,MY
2469,3993,3/11/2021,MY
2617,3770,4/13/2018,MY
2177,3767,6/1/2020,MY
2724,1303,2/11/2018,ID
2159,1245,8/9/2019,ID
2436,3646,9/14/2019,MY
2399,3590,7/26/2018,MY
2133,1774,8/9/2019,ID
2043,3249,9/12/2018,MY
2497,2992,3/14/2021,SG
2919,2181,11/3/2018,SG
2077,2049,11/1/2019,SG
2460,2262,7/3/2018,SG
2236,1651,10/9/2020,ID
2858,1165,8/1/2020,ID
2728,3408,7/9/2018,MY
2285,1336,4/6/2021,ID
2301,1836,6/13/2021,ID
2885,4032,12/30/2021,PH
2455,2583,1/14/2019,SG
2165,3992,7/4/2018,MY
2356,1151,3/21/2019,ID
2251,4140,12/5/2018,PH
2572,3316,1/7/2018,MY
2143,4461,4/17/2018,PH
2324,1689,5/3/2019,ID
2755,2948,4/7/2019,SG
2529,4271,1/7/2018,PH
2800,2780,7/3/2019,SG
2461,1897,1/11/2020,ID
2184,2215,11/25/2020,SG
2982,1967,12/2/2019,ID
2689,2126,4/13/2018,SG
2674,1670,10/3/2018,ID
2058,3890,1/12/2020,MY
2415,4215,5/26/2018,PH
2313,4487,1/7/2018,PH
2437,1286,6/7/2021,ID
2332,1223,3/17/2021,ID
2504,3316,5/13/2020,MY
2006,4481,1/5/2021,PH
2661,3187,6/16/2019,MY
2927,4780,7/24/2018,SZ
2616,2011,8/17/2019,SG
2133,2907,4/2/2020,SG
2235,3900,11/6/2018,MY
2562,4109,3/25/2020,PH
2884,1964,10/18/2019,ID
2168,2077,12/2/2019,SG
2566,4426,11/7/2018,PH
2834,4829,12/25/2018,SZ
2160,4607,5/15/2018,SZ
2877,2519,5/24/2018,SG
2618,2578,2/19/2018,SG
2188,2049,12/11/2021,SG
2761,1981,3/7/2018,ID
2115,4634,11/6/2021,SZ
2941,3637,11/22/2020,MY
2082,3407,4/7/2021,MY
2119,1311,5/30/2019,ID
2545,2949,5/31/2020,SG
2982,1208,4/28/2021,ID
2512,1450,6/24/2019,ID
2485,1433,6/6/2020,ID
2721,2202,2/28/2021,SG
2150,2416,3/5/2019,SG
2459,4469,4/28/2021,PH
2314,3483,3/17/2019,MY
2363,1092,3/19/2019,ID
2578,4611,6/30/2021,SZ
2674,1291,11/15/2020,ID
2544,3460,5/26/2019,MY
2973,3362,5/10/2019,MY
2532,3663,11/29/2019,MY
2975,1830,12/11/2020,ID
2716,4374,6/22/2021,PH
2073,1080,10/3/2020,ID
2112,3244,10/31/2020,MY
2780,4940,8/26/2018,SZ
2749,2550,8/24/2018,SG
2001,3149,1/2/2020,MY
2460,3254,5/30/2021,MY
2497,2923,2/10/2019,SG
2111,4514,7/19/2020,SZ
2464,1813,8/4/2020,ID
2982,4483,11/30/2019,PH
2658,4849,5/19/2020,SZ
2433,3189,11/21/2021,MY
2125,4398,5/12/2019,PH
2212,1302,5/23/2018,ID
2600,2976,10/11/2019,SG
2652,4962,12/18/2018,SZ
2515,3299,5/14/2021,MY
2284,1715,11/7/2021,ID
2977,3473,11/20/2021,MY
2746,1789,3/4/2020,ID
2094,3143,5/14/2019,MY
2628,4996,11/3/2020,SZ
2841,1717,10/6/2018,ID
2715,2232,12/3/2018,SG
2074,3013,5/30/2019,MY
2009,4169,6/24/2018,PH
2784,2616,6/19/2019,SG
2872,1692,1/29/2021,ID
2907,4334,5/7/2020,PH
2508,1328,1/11/2021,ID
2398,1040,7/22/2018,ID
2228,4190,7/24/2019,PH
2667,1873,1/2/2019,ID
2598,3871,5/19/2020,MY
2963,2595,9/27/2020,SG
2804,2701,1/24/2018,SG
2042,2471,10/31/2021,SG
2827,4225,9/26/2018,PH
2743,4675,1/25/2018,SZ
2398,3960,6/7/2019,MY
2777,2508,6/21/2020,SG
2876,3433,5/15/2019,MY
2390,4810,1/16/2019,SZ
2257,2827,9/24/2020,SG
2933,4072,6/10/2020,PH
2624,4585,8/21/2018,SZ
2243,4776,12/21/2019,SZ
2976,3839,5/13/2018,MY
2651,2472,9/16/2020,SG
2047,2555,12/9/2018,SG
2701,4875,7/22/2021,SZ
2834,4856,1/19/2018,SZ
2562,3421,11/23/2019,MY
2393,4040,11/27/2018,PH
2810,4766,12/4/2019,SZ
2906,4868,1/16/2019,SZ
2540,4571,7/16/2021,SZ
2114,2780,10/14/2019,SG
2347,4302,7/14/2019,PH
2779,3769,9/4/2018,MY
2903,1745,11/21/2021,ID
2015,1964,3/19/2018,ID
2302,4417,2/5/2019,PH
2944,3318,11/29/2018,MY
2252,1127,10/24/2020,ID
2635,3667,5/18/2020,MY
2857,1842,5/18/2018,ID
2770,1577,1/16/2019,ID
2291,1996,12/20/2018,ID
2328,1169,7/19/2021,ID
2857,4091,11/21/2020,PH
2432,2214,10/27/2018,SG
2445,1400,1/4/2019,ID
2416,2980,2/2/2018,SG
2530,3116,2/13/2018,MY
2272,3937,3/18/2019,MY
2693,3957,10/24/2018,MY
2319,4555,12/2/2018,SZ
2509,2241,2/27/2021,SG
2592,3141,10/19/2018,MY
2804,1419,5/3/2021,ID
2139,4049,3/23/2018,PH
2278,1098,7/26/2019,ID
2339,1767,6/27/2018,ID
2266,3290,3/1/2018,MY
2115,2175,1/18/2021,SG
2697,3483,4/17/2020,MY
2104,3463,9/18/2019,MY
2246,2984,6/13/2021,SG
2104,1031,11/9/2019,ID
2197,3116,10/1/2021,MY
2492,4034,9/29/2021,PH
2352,1673,8/19/2019,ID
2937,3003,6/21/2019,MY
2485,2215,3/20/2019,SG
2815,3603,9/10/2020,MY
2885,4927,2/17/2021,SZ
2950,2175,6/11/2018,SG
2339,2407,12/15/2018,SG
2591,4481,8/4/2021,PH
2577,4267,3/20/2019,PH
2075,2644,6/14/2018,SG
2814,4047,1/3/2019,PH
2432,1415,1/2/2021,ID
2395,3275,6/29/2021,MY
2987,3801,3/21/2018,MY
2850,4283,2/7/2020,PH
2054,4151,12/27/2019,PH
2607,2580,7/14/2019,SG
2447,3303,1/20/2019,MY
2401,2126,8/31/2021,SG
2663,1655,7/8/2021,ID
2642,1908,11/3/2018,ID
2309,4445,7/3/2019,PH
2437,3424,5/1/2019,MY
2042,2962,4/5/2018,SG
2842,2372,8/15/2020,SG
2384,4253,9/10/2020,PH
2929,2602,6/19/2021,SG
2276,2752,5/6/2019,SG
2607,1738,2/18/2020,ID
2190,3257,3/19/2020,MY
2728,1829,3/11/2018,ID
2031,3382,9/4/2021,MY
2184,4363,4/17/2019,PH
2510,1527,1/29/2019,ID
2678,2356,12/15/2020,SG
2089,2936,7/25/2020,SG
2077,3218,2/18/2020,MY
2672,4329,4/15/2019,PH
2245,2152,10/10/2019,SG
2642,3467,7/24/2019,MY
2098,1118,10/12/2020,ID
2121,4410,11/22/2021,PH
2227,3152,3/11/2021,MY
2337,3745,6/11/2020,MY
2926,2233,10/29/2019,SG
2666,1954,12/31/2020,ID
2153,4369,2/1/2018,PH
2560,3672,3/18/2019,MY
2478,2609,5/18/2019,SG
2000,3783,1/31/2018,MY
2710,4123,12/22/2020,PH
2948,2833,11/6/2020,SG
2426,2009,4/14/2018,SG
2468,3634,9/30/2020,MY
2846,3541,5/13/2018,MY
2351,3765,12/14/2018,MY
2220,2420,7/6/2021,SG
2841,1869,1/17/2019,ID
2042,3789,5/30/2019,MY
2940,1214,7/25/2018,ID
2307,3825,6/22/2019,MY
2884,2051,1/13/2019,SG
2591,1006,11/19/2020,ID
2715,3161,12/22/2019,MY
2008,2962,7/14/2021,SG
2879,3368,6/18/2019,MY
2018,2686,2/26/2021,SG
2240,4151,12/18/2021,PH
2210,2053,5/5/2019,SG
2287,1798,10/12/2018,ID
2190,3568,9/28/2018,MY
2133,3051,6/26/2019,MY
2233,3356,4/23/2019,MY
2312,1993,10/2/2020,ID
2075,2867,11/9/2019,SG
2545,1713,7/24/2018,ID
2717,1214,3/11/2019,ID
2634,4519,7/16/2019,SZ
2924,4289,11/23/2020,PH
2692,2961,7/21/2021,SG
2587,2663,7/3/2021,SG
2736,2781,9/4/2020,SG
2056,1510,3/1/2021,ID
2132,4155,6/13/2018,PH
2401,1707,7/10/2018,ID
2357,2109,7/13/2021,SG
2640,4566,7/28/2021,SZ
2511,1524,1/3/2018,ID
2097,4501,12/9/2019,SZ
2758,1320,7/1/2020,ID
2600,4481,8/23/2018,PH
2822,3783,5/20/2021,MY
2992,1047,2/21/2021,ID
2892,1726,8/5/2020,ID
2368,1356,4/19/2019,ID
2077,3861,6/1/2021,MY
2802,1058,4/3/2019,ID
2069,2190,12/5/2018,SG
2306,2294,4/30/2020,SG
2196,3231,1/25/2019,MY
2123,4288,12/27/2021,PH
2131,1152,1/21/2018,ID
2326,1552,3/1/2020,ID
2629,1410,12/1/2021,ID
2428,2852,1/27/2020,SG
2438,4022,4/5/2020,PH
2323,3884,4/25/2018,MY
2165,1869,12/9/2020,ID
2477,1308,6/13/2020,ID
2363,2883,5/25/2020,SG
2578,4784,6/18/2021,SZ
2249,4134,3/10/2020,PH
2512,4011,1/26/2019,PH
2042,4546,2/11/2020,SZ
2245,1304,3/15/2021,ID
2420,2605,2/14/2018,SG
2454,1307,9/16/2021,ID
2049,4897,12/15/2018,SZ
2944,1970,1/11/2021,ID
2370,4196,6/8/2020,PH
2932,1295,11/20/2019,ID
2383,1157,3/11/2021,ID
2125,4301,7/18/2019,PH
2310,3769,12/22/2019,MY
2794,1983,1/31/2019,ID
2616,4502,8/16/2021,SZ
2554,1015,9/21/2021,ID
2066,2075,2/25/2018,SG
2292,3321,3/29/2020,MY
2484,2629,12/25/2019,SG
2098,2926,7/4/2021,SG
2211,2415,11/5/2021,SG
2719,2124,10/11/2018,SG
2206,2004,4/16/2021,SG
2706,3376,7/31/2019,MY
2160,1519,4/11/2021,ID
2906,4603,4/6/2018,SZ
2173,4914,12/17/2020,SZ
2315,4565,11/24/2021,SZ
2586,3253,2/11/2020,MY
2720,3264,5/3/2020,MY
2186,3326,6/14/2019,MY
2411,2071,2/29/2020,SG
2737,3566,9/6/2020,MY
2610,3700,9/2/2020,MY
2548,3706,12/26/2020,MY
2353,4314,3/14/2020,PH
2232,3930,3/14/2021,MY
2831,4948,6/13/2019,SZ
2370,3314,2/27/2020,MY
2336,3754,8/12/2019,MY
2732,4164,1/3/2020,PH
2313,1126,2/8/2019,ID
2824,4985,10/14/2020,SZ
2914,1707,6/4/2019,ID
2168,2519,7/24/2020,SG
2886,2878,8/13/2018,SG
2356,3110,12/6/2020,MY
2326,3705,2/5/2019,MY
2234,3234,3/29/2021,MY
2018,2060,6/3/2019,SG
2186,3829,12/11/2018,MY
2580,4040,3/10/2018,PH
2725,4774,8/13/2021,SZ
2851,2683,4/17/2019,SG
2805,2245,11/24/2020,SG
2478,4426,7/25/2021,PH
2640,4592,10/10/2019,SZ
2055,1961,5/17/2021,ID
2578,4505,12/10/2019,SZ
2799,2011,8/13/2019,SG
2977,1311,1/25/2018,ID
2991,4232,5/11/2018,PH
2932,2880,5/2/2018,SG
2146,4916,10/21/2018,SZ
2669,4955,2/10/2020,SZ
2825,2124,10/28/2021,SG
2298,2979,3/29/2020,SG
2939,1323,4/2/2020,ID
2558,3080,10/29/2021,MY
2943,1447,5/7/2021,ID
2669,1854,5/27/2021,ID
2792,2955,11/27/2018,SG
2830,3517,3/7/2018,MY
2499,3626,3/16/2018,MY
2110,4829,2/20/2020,SZ
2648,2452,7/8/2020,SG
2019,3546,9/19/2019,MY
2089,3296,5/14/2019,MY
2567,1705,2/27/2019,ID
2666,3383,11/15/2018,MY
2332,2245,5/14/2019,SG
2936,2190,2/14/2018,SG
2727,1599,10/18/2021,ID
2807,1678,3/21/2019,ID
2352,2571,8/19/2018,SG
2159,3177,9/25/2018,MY
2772,3521,10/3/2019,MY
2297,2237,10/22/2021,SG
2351,3908,12/18/2018,MY
2661,4787,4/18/2019,SZ
2027,4549,5/1/2020,SZ
2677,1117,4/18/2018,ID
2040,4058,8/21/2018,PH
2787,1705,2/6/2020,ID
2752,1681,3/26/2021,ID
2604,1333,9/30/2019,ID
2900,1289,9/14/2019,ID
2342,1045,11/29/2021,ID
2401,3996,3/23/2018,MY
2900,3593,7/27/2020,MY
2357,2429,3/19/2018,SG
2354,1205,1/3/2018,ID
2765,2414,7/1/2018,SG
2269,3832,7/28/2019,MY
2204,3231,6/2/2019,MY
2907,4862,11/17/2018,SZ
2338,3599,12/6/2020,MY
2299,4443,1/8/2020,PH
2711,1555,12/11/2019,ID
2655,3661,6/13/2018,MY
2699,1882,7/4/2020,ID
2428,2705,6/21/2018,SG
2007,3175,3/2/2019,MY
2261,3035,10/12/2021,MY
2097,1601,5/26/2021,ID
2851,4935,9/3/2021,SZ
2539,1085,6/7/2021,ID
2927,4556,11/25/2021,SZ
2415,4453,9/7/2021,PH
2812,3396,11/20/2019,MY
2087,2587,4/11/2019,SG
2036,2774,1/16/2020,SG
2024,3177,11/21/2021,MY
2552,3060,10/30/2019,MY
2085,2665,4/18/2019,SG
2576,3398,8/19/2021,MY
2460,2084,9/2/2021,SG
2556,3861,3/19/2021,MY
2194,1880,6/25/2021,ID
2399,1683,1/25/2018,ID
2146,4665,11/27/2020,SZ
2505,1360,6/6/2018,ID
2960,4832,2/3/2019,SZ
2043,4767,11/15/2021,SZ
2220,3718,6/29/2018,MY
2231,2323,5/22/2020,SG
2714,4454,3/20/2021,PH
2208,1683,8/29/2020,ID
2180,2742,1/4/2018,SG
2824,1215,12/10/2019,ID
2309,1266,3/3/2021,ID
2991,1063,2/11/2019,ID
2064,4343,10/5/2021,PH
2562,2722,9/2/2021,SG
2937,1721,8/21/2019,ID
2009,4107,4/16/2021,PH
2065,2492,12/31/2018,SG
2608,4591,2/14/2021,SZ
2732,3855,12/8/2018,MY
2264,1956,4/9/2021,ID
2821,4343,3/29/2021,PH
2402,3512,2/9/2020,MY
2822,2489,4/14/2018,SG
2145,4016,10/26/2018,PH
2118,1816,4/7/2020,ID
2075,4585,5/22/2018,SZ
2032,2718,5/10/2020,SG
2708,1675,7/28/2021,ID
2585,1649,9/8/2020,ID
2400,2224,2/20/2020,SG
2740,4153,3/7/2018,PH
2884,2862,1/1/2019,SG
2984,4820,11/18/2021,SZ
2757,2771,6/8/2021,SG
2304,3586,3/15/2019,MY
2645,4527,5/3/2021,SZ
2733,3072,12/9/2021,MY
2733,3930,6/1/2018,MY
2040,1354,5/25/2018,ID
2522,2014,7/16/2018,SG
2779,3334,3/22/2018,MY
2896,3858,9/8/2020,MY
2770,2041,6/19/2019,SG
2878,4168,5/22/2021,PH
2224,1405,9/20/2021,ID
2625,1661,5/18/2019,ID
2402,2163,6/2/2018,SG
2368,2060,12/7/2019,SG
2393,2516,3/29/2018,SG
2250,2078,9/18/2019,SG
2677,4503,7/5/2021,SZ
2308,1137,9/2/2018,ID
2817,1806,2/25/2018,ID
2830,2434,11/12/2020,SG
2440,3122,9/17/2021,MY
2620,2978,1/28/2020,SG
2380,1290,9/18/2020,ID
2935,3639,1/28/2021,MY
2158,2562,11/29/2019,SG
2540,3006,7/13/2018,MY
2538,1829,8/24/2021,ID
2268,1918,7/5/2021,ID
2289,2888,8/7/2021,SG
2917,2741,1/25/2019,SG
2988,1920,1/21/2020,ID
2041,2028,5/22/2020,SG
2110,4466,3/11/2019,PH
2809,2288,1/9/2018,SG
2304,4107,6/26/2020,PH
2301,2383,4/12/2018,SG
2962,4061,7/8/2021,PH
2527,2935,6/29/2020,SG
2538,1685,6/25/2019,ID
2303,4277,2/22/2018,PH
2791,3104,1/12/2019,MY
2302,2059,8/28/2018,SG
2814,3608,3/28/2020,MY
2264,2664,7/11/2021,SG
2612,2949,1/25/2020,SG
2309,1357,7/15/2021,ID
2700,4136,2/10/2020,PH
2900,3768,4/16/2020,MY
2623,4625,7/16/2021,SZ
2628,1999,12/1/2018,ID
2065,1088,4/1/2021,ID
2052,1936,3/17/2021,ID
2004,4054,7/12/2018,PH
2731,1914,5/17/2018,ID
2418,3268,4/19/2020,MY
2425,3052,12/21/2020,MY
3000,1365,9/21/2018,ID
2445,2181,8/18/2021,SG
2692,2110,7/1/2018,SG
2860,4129,3/3/2019,PH
2869,3059,11/9/2020,MY
2913,3217,10/3/2021,MY
2238,3392,5/20/2019,MY
2284,4578,9/27/2020,SZ
2568,3394,12/27/2019,MY
2348,4736,7/31/2019,SZ
2790,4741,4/28/2019,SZ
2773,3923,11/16/2019,MY
2562,1778,12/26/2019,ID
2488,3167,8/2/2018,MY
2286,1482,12/21/2021,ID
2266,1514,4/25/2018,ID
2581,3369,11/29/2020,MY
2028,1277,6/6/2020,ID
2574,2132,10/7/2021,SG
2978,3453,7/17/2020,MY
2203,1699,12/4/2021,ID
2378,4467,8/2/2021,PH
2433,2841,7/3/2021,SG
2797,1211,3/9/2018,ID
2350,1415,2/1/2020,ID
2931,1156,3/5/2018,ID
2816,1511,11/1/2020,ID
2615,1987,10/7/2020,ID
2604,3963,8/12/2018,MY
2772,4745,7/23/2018,SZ
2664,4002,2/10/2018,PH
2677,1982,10/13/2019,ID
2524,2713,8/15/2020,SG
2624,1649,6/27/2019,ID
2318,3874,3/3/2020,MY
2842,4746,9/12/2018,SZ
2292,2802,11/17/2021,SG
2350,1951,12/12/2021,ID
2198,3204,9/4/2020,MY
2817,4455,3/19/2021,PH
2413,4333,7/25/2019,PH
2520,4464,4/16/2019,PH
2612,2589,5/7/2021,SG
2808,1918,9/10/2020,ID
2974,4745,2/18/2019,SZ
2753,1405,4/22/2020,ID
2221,2047,7/16/2020,SG
2400,4102,3/10/2018,PH
2515,1369,11/12/2021,ID
2717,3201,3/3/2021,MY
2917,2937,7/31/2019,SG
2362,4337,9/7/2018,PH
2793,3843,8/25/2018,MY
2835,3170,3/25/2021,MY
2019,4842,5/7/2019,SZ
2958,2038,1/7/2020,SG
2677,3462,12/14/2019,MY
2371,3980,6/20/2021,MY
2858,3207,3/23/2020,MY
2546,1200,4/13/2020,ID
2429,2323,6/17/2020,SG
2227,2701,4/25/2021,SG
2104,1940,6/1/2018,ID
2219,2612,3/24/2019,SG
2395,2842,6/1/2021,SG
2764,1517,5/31/2021,ID
2009,3975,11/8/2021,MY
2932,3388,6/18/2021,MY
2632,3464,9/25/2019,MY
2240,3596,4/24/2021,MY
2089,2089,12/17/2018,SG
3000,2422,8/27/2020,SG
2108,1693,8/29/2018,ID
2864,3266,6/21/2019,MY
2043,4992,2/2/2018,SZ
2611,2789,5/10/2018,SG
2772,2711,5/2/2021,SG
2334,1524,2/3/2018,ID
2878,4070,6/10/2021,PH
2393,1349,10/18/2018,ID
2589,3962,9/17/2020,MY
2633,3096,7/11/2019,MY
2434,4849,10/28/2018,SZ
2357,3544,11/17/2020,MY
2622,4057,1/2/2019,PH
2451,4373,12/13/2021,PH
2197,3523,10/28/2018,MY
2417,1007,3/9/2020,ID
2491,3023,10/2/2021,MY
2402,1626,3/6/2020,ID
2441,1477,8/4/2020,ID
2142,1002,8/13/2021,ID
2359,1435,10/29/2018,ID
2391,2131,4/14/2018,SG
2569,1332,8/10/2018,ID
2103,2881,10/10/2021,SG
2197,1527,8/8/2018,ID
2234,4577,8/3/2020,SZ
2425,3885,1/29/2018,MY
2385,4969,5/8/2018,SZ
2973,1902,8/9/2020,ID
2078,1225,12/11/2018,ID
2260,1975,3/8/2020,ID
2685,3564,12/19/2020,MY
2981,4021,3/22/2021,PH
2385,1127,10/30/2018,ID
2148,3834,2/5/2021,MY
2825,1579,3/7/2020,ID
2192,3236,1/15/2020,MY
2044,1905,6/9/2020,ID
2759,4564,5/9/2020,SZ
2853,1883,9/3/2020,ID
2497,2104,3/27/2018,SG
2542,2982,12/30/2021,SG
2244,1413,4/10/2021,ID
2944,3997,9/2/2021,MY
2812,3893,10/26/2021,MY
2973,3741,6/19/2021,MY
2499,4473,7/29/2018,PH
2635,1135,10/5/2021,ID
2770,3851,7/29/2019,MY
2395,2451,4/3/2018,SG
2549,4940,11/18/2018,SZ
2791,2492,5/30/2020,SG
2987,4938,4/3/2021,SZ
2988,1179,10/16/2020,ID
2446,1714,5/29/2019,ID
2717,2097,11/9/2018,SG
2410,2363,4/14/2020,SG
2108,2753,6/2/2021,SG
2575,4149,1/7/2018,PH
2991,2880,10/24/2018,SG
2306,4932,11/6/2019,SZ
2519,4861,5/13/2020,SZ
2880,4698,7/25/2018,SZ
2889,1541,12/27/2019,ID
2608,4761,7/5/2020,SZ
2888,3781,10/17/2020,MY
2503,2151,10/15/2019,SG
2739,3559,3/23/2018,MY
2433,1869,1/10/2019,ID
2976,2345,11/19/2019,SG
2151,1824,9/12/2018,ID
2948,3200,7/2/2020,MY
2691,2756,5/1/2020,SG
2383,3494,10/6/2018,MY
2240,1503,8/23/2018,ID
2207,3791,6/20/2019,MY
2061,3817,1/13/2019,MY
2314,1235,7/20/2020,ID
2790,1645,11/19/2020,ID
2521,3353,3/9/2018,MY
2378,2455,12/4/2018,SG
2025,1542,12/30/2018,ID
2425,2050,9/8/2019,SG
2342,1295,3/14/2019,ID
2047,2390,6/11/2019,SG
2143,2235,5/1/2019,SG
2318,1894,10/28/2021,ID
2476,3910,12/4/2019,MY
2238,3317,6/4/2021,MY
2883,2870,4/9/2019,SG
2946,3248,7/27/2018,MY
2489,3522,1/4/2018,MY
2906,3669,5/4/2018,MY
2379,2537,12/4/2018,SG
2854,4488,8/3/2020,PH
2366,2787,12/12/2018,SG
2692,3654,1/17/2020,MY
2772,3978,9/8/2020,MY
2045,1967,2/23/2020,ID
2172,1171,9/17/2021,ID
2836,2682,4/24/2018,SG
2216,3509,7/18/2020,MY
2003,3739,1/9/2018,MY
2704,1445,5/30/2020,ID
2421,4891,4/22/2021,SZ
2241,1891,11/21/2019,ID
2521,4642,2/17/2020,SZ
2085,2798,3/8/2018,SG
2080,3706,3/27/2021,MY
2080,1872,6/3/2018,ID
2285,4801,4/22/2018,SZ
2951,4734,10/24/2018,SZ
2764,2054,7/2/2021,SG
2421,3198,6/1/2020,MY
2217,2818,12/5/2018,SG
2651,3185,6/7/2021,MY
2059,2445,10/28/2020,SG
2861,4326,11/7/2021,PH
2777,2447,4/29/2020,SG
2441,2530,5/3/2021,SG
2664,2055,3/12/2018,SG
2162,2476,2/27/2019,SG
2615,1244,2/6/2018,ID
2865,4599,3/26/2021,SZ
2915,3409,2/12/2021,MY
2110,3126,8/20/2018,MY
2358,4675,3/13/2019,SZ
2464,2136,5/19/2021,SG
2794,4186,2/11/2020,PH
2818,3552,7/12/2021,MY
2410,3854,5/13/2021,MY
2775,1245,12/3/2019,ID
2257,2251,7/28/2019,SG
2800,4270,9/7/2019,PH
2286,3829,3/29/2019,MY
2401,2927,7/24/2019,SG
2732,2240,8/12/2019,SG
2510,4949,5/24/2020,SZ
2118,3000,7/29/2020,MY
2429,2985,4/2/2021,SG
2971,1586,8/25/2021,ID
2904,4020,7/31/2019,PH
2843,1745,1/14/2018,ID
2711,1712,10/4/2019,ID
2625,2897,1/5/2021,SG
2689,4451,12/30/2018,PH
2317,1727,9/14/2021,ID
2165,4289,8/28/2018,PH
2096,3368,9/5/2021,MY
2906,2530,9/28/2020,SG
2243,2769,3/16/2021,SG
2809,3910,2/5/2018,MY
2964,4845,2/2/2018,SZ
2892,2419,7/12/2018,SG
2425,4831,8/18/2020,SZ
2495,4304,12/27/2018,PH
2423,3059,8/19/2020,MY
2891,1361,1/12/2018,ID
2302,3058,10/20/2021,MY
